"Name";"BlueFolderPath"
"alfpentrep11";"/Other OSS Teams Solutions/Pentaho"
"alfpentdi12";"/Other OSS Teams Solutions/Pentaho"
"alfpentba02";"/Other OSS Teams Solutions/Pentaho"
"alfpentba01";"/Other OSS Teams Solutions/Pentaho"
"alfpentlbba01";"/Other OSS Teams Solutions/Pentaho"
"alfpentba11";"/Other OSS Teams Solutions/Pentaho"
"alfpentba12";"/Other OSS Teams Solutions/Pentaho"
"alfpentdi05";"/Other OSS Teams Solutions/Pentaho"
"ptwmp6vr";"/Other OSS Teams Solutions/SMART"
"ALFFTTHSRV1H";"/Other OSS Teams Solutions/U2000"
"alfu2000srv1h";"/Other OSS Teams Solutions/U2000"
"SDTRFNMS";"/Other OSS Teams Solutions/U2000"
"WOWF3";"/Other OSS Teams Solutions/WOW"
"Icinga";"/Other OSS Teams Solutions/WOW"
"omcdbweb3";"/Other OSS Teams Solutions/WOW"
"WOWF1";"/Other OSS Teams Solutions/WOW"
"alfadmwow01";"/Other OSS Teams Solutions/WOW"
"WOWB1";"/Other OSS Teams Solutions/WOW"
"wowlabf";"/Other OSS Teams Solutions/WOW"
"tst5530na";"/Other OSS Teams Solutions/xDSL"
"alf5530na";"/Other OSS Teams Solutions/xDSL"
"alfctxipctrl01";"/Citrix/Citrix Infrastructure Production/Citrix Seguro"
"alfvmatoll02";"/Citrix/Citrix Servers/PT Laboratory"
"alfvmtst0801";"/Citrix/Citrix Servers/PT Laboratory"
"alfvmtemipes01";"/Citrix/Citrix Servers/ANOC ES Laboratory"
"alfls01";"/Citrix/Citrix Infrastructure Production/Citrix Seguro"
"alfvmtemipes02";"/Citrix/Citrix Servers/ANOC ES Laboratory"
"alfvmmonin05";"/Citrix/Citrix Servers/PT Pre-Production"
"hpsaprd02";"/Other OSS Teams Solutions/HPSA/PROD"
"hpsaprd06";"/Other OSS Teams Solutions/HPSA/PROD"
"alfx65atollpt01";"/Citrix/Citrix Servers/PT Production"
"hpsaprd04";"/Other OSS Teams Solutions/HPSA/PROD"
"hpsatst04";"/Other OSS Teams Solutions/HPSA/TST"
"hpsaprd05";"/Other OSS Teams Solutions/HPSA/PROD"
"alfx650807";"/Citrix/Citrix Servers/PT Production"
"alfx65atolles01";"/Citrix/Citrix Servers/PT Production"
"hpsatst03";"/Other OSS Teams Solutions/HPSA/TST"
"hpsaprd01";"/Other OSS Teams Solutions/HPSA/PROD"
"hpsaprd03";"/Other OSS Teams Solutions/HPSA/PROD"
"hpsatst01";"/Other OSS Teams Solutions/HPSA/TST"
"hpsatst02";"/Other OSS Teams Solutions/HPSA/TST"
"alfx65anoc05";"/Citrix/Citrix Servers/ANOC ES Production"
"alfvmanoc02";"/Citrix/Citrix Servers/ANOC ES Production"
"alfvmshare";"/Infrastructure/Management Servers/File Servers"
"alfvmcra03";"/Citrix/Citrix Servers/PT StandBy"
"alfx650811";"/Citrix/Citrix Servers/PT Production"
"alfx65anoc03";"/Citrix/Citrix Servers/ANOC ES Production"
"alfvmanie02";"/Citrix/Citrix Servers/ANOC IE Production"
"alfvmmon02";"/Citrix/Citrix Servers/PT Production"
"alfx65mon03";"/Citrix/Citrix Servers/PT Production"
"alfx65intgrph02";"/Citrix/Citrix Servers/PT Production"
"alfx650808";"/Citrix/Citrix Servers/PT Production"
"alfvmanietst01";"/Citrix/Citrix Servers/ANOC IE Laboratory"
"alfx65anoc04";"/Citrix/Citrix Servers/ANOC ES Production"
"alfx650805";"/Citrix/Citrix Servers/PT Production"
"alfvmanocczt08";"/Citrix/Citrix Servers/ANOC ES Production"
"alfvmnetgeo01";"/Citrix/Citrix Servers/PT Production"
"alfvm03";"/Citrix/Citrix Servers/PT Production"
"alfvmanoc03";"/Citrix/Citrix Servers/ANOC ES Production"
"alfvm14";"/Citrix/Citrix Servers/PT Production"
"alfvmtst0302";"/Citrix/Citrix Servers/PT Laboratory"
"alfvm05";"/Citrix/Citrix Servers/PT Production"
"alfvmesdns";"/Citrix/Citrix Servers/ANOC ES Production"
"alfvmtemip06";"/Citrix/Citrix Servers/PT Production"
"alfossistst01";"/Other OSS Teams Solutions/OSS-IS/Tools"
"alfx650804";"/Citrix/Citrix Servers/PT Production"
"GeoInsight_SRV";"/Other OSS Teams Solutions/OSS-IS/Geo"
"alfvmanoc05";"/Citrix/Citrix Servers/ANOC ES Production"
"alfvmmon03";"/Citrix/Citrix Servers/PT Production"
"alfvm11";"/Citrix/Citrix Servers/PT Production"
"vfpt-osswpe";"/Other OSS Teams Solutions/OSS-IS/WPE"
"GeoIntelligence";"/Other OSS Teams Solutions/OSS-IS/Geo"
"alfx650813";"/Citrix/Citrix Servers/PT Production"
"alfdns2e";"/NE Systems/OSS Ericsson/DNS"
"alfvmtnms02";"/Citrix/Citrix Servers/PT Production"
"alfisilon01";"/Infrastructure/Management Servers/NAS Isilon"
"alfvmanoc04";"/Citrix/Citrix Servers/ANOC ES Production"
"vfpt-osswpetst";"/Other OSS Teams Solutions/OSS-IS/WPE"
"alfx650809";"/Citrix/Citrix Servers/PT Production"
"alfx650815";"/Citrix/Citrix Servers/PT Production"
"alfdnsmgr";"/NE Systems/OSS Ericsson/DNS"
"alfossnas01";"/Infrastructure/Management Servers/File Servers"
"alfvm12";"/Citrix/Citrix Servers/PT Production"
"alfx65anie01";"/Citrix/Citrix Servers/ANOC IE Production"
"alfvmcra02";"/Citrix/Citrix Servers/PT Production"
"alfvmanoc01";"/Citrix/Citrix Servers/ANOC ES Production"
"alfx650814";"/Citrix/Citrix Servers/PT Production"
"alfx65mon04";"/Citrix/Citrix Servers/PT Production"
